state,year,population
New Hampshire,1996,"1,174,719"
New Hampshire,1997,"1,189,425"
New Hampshire,1998,"1,205,940"
New Hampshire,1999,"1,222,014"
New Hampshire,2000,"1,239,882"
New Hampshire,2001,"1,255,517"
New Hampshire,2002,"1,269,089"
New Hampshire,2003,"1,279,840"
New Hampshire,2004,"1,290,121"
New Hampshire,2005,"1,298,492"
New Hampshire,2006,"1,308,389"
New Hampshire,2007,"1,312,540"
New Hampshire,2008,"1,315,906"
New Hampshire,2009,"1,316,102"
New Hampshire,2010,"1,316,777"
New Hampshire,2011,"1,319,815"
New Hampshire,2012,"1,323,962"
New Hampshire,2013,"1,326,408"
New Hampshire,2014,"1,333,223"
New Hampshire,2015,"1,336,294"
New Hampshire,2016,"1,342,373"
New Hampshire,2017,"1,349,767"
New Hampshire,2018,"1,356,458"
New Hampshire,2019,"1,356,458"
New Jersey,1990,"7,762,963"
New Jersey,1991,"7,814,676"
New Jersey,1992,"7,880,508"
New Jersey,1993,"7,948,915"
New Jersey,1994,"8,014,306"
New Jersey,1995,"8,083,242"
New Jersey,1996,"8,149,596"
New Jersey,1997,"8,218,808"
New Jersey,1998,"8,287,418"
New Jersey,1999,"8,359,592"
New Jersey,2000,"8,430,621"
New Jersey,2001,"8,492,671"
New Jersey,2002,"8,552,643"
New Jersey,2003,"8,601,402"
New Jersey,2004,"8,634,561"
New Jersey,2005,"8,651,974"
New Jersey,2006,"8,661,679"
New Jersey,2007,"8,677,885"
New Jersey,2008,"8,711,090"
New Jersey,2009,"8,755,602"
New Jersey,2010,"8,799,624"
New Jersey,2011,"8,827,783"
New Jersey,2012,"8,845,483"
New Jersey,2013,"8,858,362"
New Jersey,2014,"8,866,780"
New Jersey,2015,"8,870,869"
New Jersey,2016,"8,874,516"
New Jersey,2017,"8,888,543"
New Jersey,2018,"8,908,520"
New Jersey,2019,"8,908,520"
New Mexico,1990,"1,521,574"
New Mexico,1991,"1,555,305"
New Mexico,1992,"1,595,442"
New Mexico,1993,"1,636,453"
New Mexico,1994,"1,682,398"
New Mexico,1995,"1,720,394"
New Mexico,1996,"1,752,326"
New Mexico,1997,"1,774,839"
New Mexico,1998,"1,793,484"
New Mexico,1999,"1,808,082"
New Mexico,2000,"1,821,204"
New Mexico,2001,"1,831,690"
New Mexico,2002,"1,855,309"
New Mexico,2003,"1,877,574"
New Mexico,2004,"1,903,808"
New Mexico,2005,"1,932,274"
New Mexico,2006,"1,962,137"
New Mexico,2007,"1,990,070"
New Mexico,2008,"2,010,662"
New Mexico,2009,"2,036,802"
New Mexico,2010,"2,064,588"
New Mexico,2011,"2,080,395"
New Mexico,2012,"2,087,549"
New Mexico,2013,"2,092,792"
New Mexico,2014,"2,090,342"
New Mexico,2015,"2,090,211"
New Mexico,2016,"2,092,789"
New Mexico,2017,"2,093,395"
New Mexico,2018,"2,095,428"
New Mexico,2019,"2,095,428"
New York,1990,"18,020,784"
New York,1991,"18,122,510"
New York,1992,"18,246,653"
New York,1993,"18,374,954"
New York,1994,"18,459,470"
New York,1995,"18,524,104"
New York,1996,"18,588,460"
New York,1997,"18,656,546"
New York,1998,"18,755,906"
New York,1999,"18,882,725"
New York,2000,"19,001,780"
New York,2001,"19,082,838"
New York,2002,"19,137,800"
New York,2003,"19,175,939"
New York,2004,"19,171,567"
New York,2005,"19,132,610"
New York,2006,"19,104,631"
New York,2007,"19,132,335"
New York,2008,"19,212,436"
New York,2009,"19,307,066"
New York,2010,"19,400,080"
New York,2011,"19,498,514"
New York,2012,"19,574,549"
New York,2013,"19,628,043"
New York,2014,"19,656,330"
New York,2015,"19,661,411"
New York,2016,"19,641,589"
New York,2017,"19,590,719"
New York,2018,"19,542,209"
New York,2019,"19,542,209"
North Carolina,1990,"6,664,016"
North Carolina,1991,"6,784,280"
North Carolina,1992,"6,897,214"
North Carolina,1993,"7,042,818"
North Carolina,1994,"7,187,398"
North Carolina,1995,"7,344,674"
North Carolina,1996,"7,500,670"
North Carolina,1997,"7,656,825"
North Carolina,1998,"7,809,121"
North Carolina,1999,"7,949,361"
North Carolina,2000,"8,081,614"
North Carolina,2001,"8,210,122"
North Carolina,2002,"8,326,201"
North Carolina,2003,"8,422,501"
North Carolina,2004,"8,553,152"
North Carolina,2005,"8,705,407"
North Carolina,2006,"8,917,270"
North Carolina,2007,"9,118,037"
North Carolina,2008,"9,309,449"
North Carolina,2009,"9,449,566"
North Carolina,2010,"9,574,293"
North Carolina,2011,"9,656,754"
North Carolina,2012,"9,749,123"
North Carolina,2013,"9,843,599"
North Carolina,2014,"9,933,944"
North Carolina,2015,"10,033,079"
North Carolina,2016,"10,156,679"
North Carolina,2017,"10,270,800"
North Carolina,2018,"10,383,620"
North Carolina,2019,"10,383,620"
North Dakota,1990,"637,685"
North Dakota,1991,"635,753"
North Dakota,1992,"638,223"
North Dakota,1993,"641,216"
North Dakota,1994,"644,804"
North Dakota,1995,"647,832"
North Dakota,1996,"650,382"
North Dakota,1997,"649,716"
North Dakota,1998,"647,532"
North Dakota,1999,"644,259"
North Dakota,2000,"642,023"
North Dakota,2001,"639,062"
North Dakota,2002,"638,168"
North Dakota,2003,"638,817"
North Dakota,2004,"644,705"
North Dakota,2005,"646,089"
North Dakota,2006,"649,422"
North Dakota,2007,"652,822"
North Dakota,2008,"657,569"
North Dakota,2009,"664,968"
North Dakota,2010,"674,710"
North Dakota,2011,"685,136"
North Dakota,2012,"701,116"
North Dakota,2013,"721,999"
North Dakota,2014,"737,382"
North Dakota,2015,"754,022"
North Dakota,2016,"754,353"
North Dakota,2017,"755,176"
North Dakota,2018,"760,077"
North Dakota,2019,"760,077"
Ohio,1990,"10,864,162"
Ohio,1991,"10,945,762"
Ohio,1992,"11,029,431"
Ohio,1993,"11,101,140"
Ohio,1994,"11,152,454"
Ohio,1995,"11,202,751"
Ohio,1996,"11,242,827"
Ohio,1997,"11,277,357"
Ohio,1998,"11,311,536"
Ohio,1999,"11,335,454"
Ohio,2000,"11,363,543"
Ohio,2001,"11,387,404"
Ohio,2002,"11,407,889"
Ohio,2003,"11,434,788"
Ohio,2004,"11,452,251"
Ohio,2005,"11,463,320"
Ohio,2006,"11,481,213"
Ohio,2007,"11,500,468"
Ohio,2008,"11,515,391"
Ohio,2009,"11,528,896"
Ohio,2010,"11,539,327"
Ohio,2011,"11,543,463"
Ohio,2012,"11,548,369"
Ohio,2013,"11,576,576"
Ohio,2014,"11,602,973"
Ohio,2015,"11,617,850"
Ohio,2016,"11,635,003"
Ohio,2017,"11,664,129"
Ohio,2018,"11,689,442"
Ohio,2019,"11,689,442"
Oklahoma,1990,"3,148,825"
Oklahoma,1991,"3,175,440"
Oklahoma,1992,"3,220,517"
Oklahoma,1993,"3,252,285"
Oklahoma,1994,"3,280,940"
Oklahoma,1995,"3,308,208"
Oklahoma,1996,"3,340,129"
Oklahoma,1997,"3,372,917"
Oklahoma,1998,"3,405,194"
Oklahoma,1999,"3,437,147"
Oklahoma,2000,"3,454,365"
Oklahoma,2001,"3,467,100"
Oklahoma,2002,"3,489,080"
Oklahoma,2003,"3,504,892"
Oklahoma,2004,"3,525,233"
Oklahoma,2005,"3,548,597"
Oklahoma,2006,"3,594,090"
Oklahoma,2007,"3,634,349"
Oklahoma,2008,"3,668,976"
Oklahoma,2009,"3,717,572"
Oklahoma,2010,"3,759,632"
Oklahoma,2011,"3,787,821"
Oklahoma,2012,"3,818,600"
Oklahoma,2013,"3,853,205"
Oklahoma,2014,"3,878,367"
Oklahoma,2015,"3,909,831"
Oklahoma,2016,"3,926,769"
Oklahoma,2017,"3,932,640"
Oklahoma,2018,"3,943,079"
Oklahoma,2019,"3,943,079"
Oregon,1990,"2,860,375"
Oregon,1991,"2,928,507"
Oregon,1992,"2,991,755"
Oregon,1993,"3,060,367"
Oregon,1994,"3,121,264"
Oregon,1995,"3,184,369"
Oregon,1996,"3,247,111"
Oregon,1997,"3,304,310"
Oregon,1998,"3,352,449"
Oregon,1999,"3,393,941"
Oregon,2000,"3,429,708"
Oregon,2001,"3,467,937"
Oregon,2002,"3,513,424"
Oregon,2003,"3,547,376"
Oregon,2004,"3,569,463"
Oregon,2005,"3,613,202"
Oregon,2006,"3,670,883"
Oregon,2007,"3,722,417"
Oregon,2008,"3,768,748"
Oregon,2009,"3,808,600"
Oregon,2010,"3,837,532"
Oregon,2011,"3,871,728"
Oregon,2012,"3,899,118"
Oregon,2013,"3,922,908"
Oregon,2014,"3,964,106"
Oregon,2015,"4,016,918"
Oregon,2016,"4,091,404"
Oregon,2017,"4,146,592"
Oregon,2018,"4,190,713"
Oregon,2019,"4,190,713"
Pennsylvania,1990,"11,903,299"
Pennsylvania,1991,"11,982,164"
Pennsylvania,1992,"12,049,450"
Pennsylvania,1993,"12,119,724"
Pennsylvania,1994,"12,166,050"
Pennsylvania,1995,"12,198,403"
Pennsylvania,1996,"12,220,464"
Pennsylvania,1997,"12,227,814"
Pennsylvania,1998,"12,245,672"
Pennsylvania,1999,"12,263,805"
Pennsylvania,2000,"12,284,173"
Pennsylvania,2001,"12,298,970"
Pennsylvania,2002,"12,331,031"
Pennsylvania,2003,"12,374,658"
Pennsylvania,2004,"12,410,722"
Pennsylvania,2005,"12,449,990"
Pennsylvania,2006,"12,510,809"
Pennsylvania,2007,"12,563,937"
Pennsylvania,2008,"12,612,285"
Pennsylvania,2009,"12,666,858"
Pennsylvania,2010,"12,711,158"
Pennsylvania,2011,"12,744,583"
Pennsylvania,2012,"12,766,827"
Pennsylvania,2013,"12,776,621"
Pennsylvania,2014,"12,789,101"
Pennsylvania,2015,"12,785,759"
Pennsylvania,2016,"12,783,538"
Pennsylvania,2017,"12,790,447"
Pennsylvania,2018,"12,807,060"
Pennsylvania,2019,"12,807,060"
Rhode Island,1990,"1,005,995"
Rhode Island,1991,"1,010,649"
Rhode Island,1992,"1,012,581"
Rhode Island,1993,"1,015,112"
Rhode Island,1994,"1,015,960"
Rhode Island,1995,"1,017,002"
Rhode Island,1996,"1,020,893"
Rhode Island,1997,"1,025,353"
Rhode Island,1998,"1,031,155"
Rhode Island,1999,"1,040,402"
Rhode Island,2000,"1,050,268"
Rhode Island,2001,"1,057,142"
Rhode Island,2002,"1,065,995"
Rhode Island,2003,"1,071,342"
Rhode Island,2004,"1,074,579"
Rhode Island,2005,"1,067,916"
Rhode Island,2006,"1,063,096"
Rhode Island,2007,"1,057,315"
Rhode Island,2008,"1,055,003"
Rhode Island,2009,"1,053,646"
Rhode Island,2010,"1,053,938"
Rhode Island,2011,"1,053,536"
Rhode Island,2012,"1,054,601"
Rhode Island,2013,"1,055,122"
Rhode Island,2014,"1,056,017"
Rhode Island,2015,"1,056,173"
Rhode Island,2016,"1,057,063"
Rhode Island,2017,"1,056,486"
Rhode Island,2018,"1,057,315"
Rhode Island,2019,"1,057,315"
South Carolina,1990,"3,501,155"
South Carolina,1991,"3,570,404"
South Carolina,1992,"3,620,464"
South Carolina,1993,"3,663,314"
South Carolina,1994,"3,705,397"
South Carolina,1995,"3,748,582"
South Carolina,1996,"3,796,200"
South Carolina,1997,"3,859,696"
South Carolina,1998,"3,919,235"
South Carolina,1999,"3,974,682"
South Carolina,2000,"4,024,223"
South Carolina,2001,"4,064,995"
South Carolina,2002,"4,107,795"
South Carolina,2003,"4,150,297"
South Carolina,2004,"4,210,921"
South Carolina,2005,"4,270,150"
South Carolina,2006,"4,357,847"
South Carolina,2007,"4,444,110"
South Carolina,2008,"4,528,996"
South Carolina,2009,"4,589,872"
South Carolina,2010,"4,635,656"
South Carolina,2011,"4,671,422"
South Carolina,2012,"4,717,112"
South Carolina,2013,"4,764,153"
South Carolina,2014,"4,823,793"
South Carolina,2015,"4,892,253"
South Carolina,2016,"4,958,235"
South Carolina,2017,"5,021,219"
South Carolina,2018,"5,084,127"
South Carolina,2019,"5,084,127"
South Dakota,1990,"697,101"
South Dakota,1991,"703,669"
South Dakota,1992,"712,801"
South Dakota,1993,"722,159"
South Dakota,1994,"730,790"
South Dakota,1995,"737,925"
South Dakota,1996,"742,213"
South Dakota,1997,"744,223"
South Dakota,1998,"746,058"
South Dakota,1999,"750,412"
South Dakota,2000,"755,844"
South Dakota,2001,"757,972"
South Dakota,2002,"760,020"
South Dakota,2003,"763,729"
South Dakota,2004,"770,396"
South Dakota,2005,"775,493"
South Dakota,2006,"783,033"
South Dakota,2007,"791,623"
South Dakota,2008,"799,124"
South Dakota,2009,"807,067"
South Dakota,2010,"816,165"
South Dakota,2011,"823,484"
South Dakota,2012,"833,496"
South Dakota,2013,"842,270"
South Dakota,2014,"849,088"
South Dakota,2015,"853,933"
South Dakota,2016,"862,890"
South Dakota,2017,"873,286"
South Dakota,2018,"882,235"
South Dakota,2019,"882,235"
Tennessee,1990,"4,894,492"
Tennessee,1991,"4,966,587"
Tennessee,1992,"5,049,742"
Tennessee,1993,"5,137,584"
Tennessee,1994,"5,231,438"
Tennessee,1995,"5,326,936"
Tennessee,1996,"5,416,643"
Tennessee,1997,"5,499,233"
Tennessee,1998,"5,570,045"
Tennessee,1999,"5,638,706"
Tennessee,2000,"5,703,719"
Tennessee,2001,"5,750,789"
Tennessee,2002,"5,795,918"
Tennessee,2003,"5,847,812"
Tennessee,2004,"5,910,809"
Tennessee,2005,"5,991,057"
Tennessee,2006,"6,088,766"
Tennessee,2007,"6,175,727"
Tennessee,2008,"6,247,411"
Tennessee,2009,"6,306,019"
Tennessee,2010,"6,355,301"
Tennessee,2011,"6,397,410"
Tennessee,2012,"6,451,281"
Tennessee,2013,"6,493,432"
Tennessee,2014,"6,540,826"
Tennessee,2015,"6,590,808"
Tennessee,2016,"6,645,011"
Tennessee,2017,"6,708,794"
Tennessee,2018,"6,770,010"
Tennessee,2019,"6,770,010"
Texas,1990,"17,056,755"
Texas,1991,"17,398,005"
Texas,1992,"17,759,738"
Texas,1993,"18,161,612"
Texas,1994,"18,564,062"
Texas,1995,"18,958,751"
Texas,1996,"19,340,342"
Texas,1997,"19,740,317"
Texas,1998,"20,157,531"
Texas,1999,"20,558,220"
Texas,2000,"20,944,499"
Texas,2001,"21,319,622"
Texas,2002,"21,690,325"
Texas,2003,"22,030,931"
Texas,2004,"22,394,023"
Texas,2005,"22,778,123"
Texas,2006,"23,359,580"
Texas,2007,"23,831,983"
Texas,2008,"24,309,039"
Texas,2009,"24,801,761"
Texas,2010,"25,242,679"
Texas,2011,"25,646,227"
Texas,2012,"26,089,620"
Texas,2013,"26,489,464"
Texas,2014,"26,977,142"
Texas,2015,"27,486,814"
Texas,2016,"27,937,492"
Texas,2017,"28,322,717"
Texas,2018,"28,701,845"
Texas,2019,"29,206,997"
Utah,1990,"1,731,223"
Utah,1991,"1,779,780"
Utah,1992,"1,836,799"
Utah,1993,"1,898,404"
Utah,1994,"1,960,446"
Utah,1995,"2,014,177"
Utah,1996,"2,067,976"
Utah,1997,"2,119,784"
Utah,1998,"2,165,960"
Utah,1999,"2,203,482"
Utah,2000,"2,244,502"
Utah,2001,"2,283,715"
Utah,2002,"2,324,815"
Utah,2003,"2,360,137"
Utah,2004,"2,401,580"
Utah,2005,"2,457,719"
Utah,2006,"2,525,507"
Utah,2007,"2,597,746"
Utah,2008,"2,663,029"
Utah,2009,"2,723,421"
Utah,2010,"2,775,334"
Utah,2011,"2,814,216"
Utah,2012,"2,853,467"
Utah,2013,"2,897,927"
Utah,2014,"2,937,399"
Utah,2015,"2,982,497"
Utah,2016,"3,042,613"
Utah,2017,"3,103,118"
Utah,2018,"3,161,105"
Utah,2019,"3,161,105"
Vermont,1990,"564,798"
Vermont,1991,"568,606"
Vermont,1992,"572,751"
Vermont,1993,"577,748"
Vermont,1994,"583,836"
Vermont,1995,"589,002"
Vermont,1996,"593,701"
Vermont,1997,"597,239"
Vermont,1998,"600,416"
Vermont,1999,"604,683"
Vermont,2000,"609,618"
Vermont,2001,"612,223"
Vermont,2002,"615,442"
Vermont,2003,"617,858"
Vermont,2004,"619,920"
Vermont,2005,"621,215"
Vermont,2006,"622,892"
Vermont,2007,"623,481"
Vermont,2008,"624,151"
Vermont,2009,"624,817"
Vermont,2010,"625,880"
Vermont,2011,"626,979"
Vermont,2012,"626,063"
Vermont,2013,"626,212"
Vermont,2014,"625,218"
Vermont,2015,"625,197"
Vermont,2016,"623,644"
Vermont,2017,"624,525"
Vermont,2018,"626,299"
Vermont,2019,"626,299"
Virginia,1990,"6,216,884"
Virginia,1991,"6,301,217"
Virginia,1992,"6,414,307"
Virginia,1993,"6,509,630"
Virginia,1994,"6,593,139"
Virginia,1995,"6,670,693"
Virginia,1996,"6,750,884"
Virginia,1997,"6,829,183"
Virginia,1998,"6,900,918"
Virginia,1999,"7,000,174"
Virginia,2000,"7,105,817"
Virginia,2001,"7,198,362"
Virginia,2002,"7,286,873"
Virginia,2003,"7,366,977"
Virginia,2004,"7,475,575"
Virginia,2005,"7,577,105"
Virginia,2006,"7,673,725"
Virginia,2007,"7,751,000"
Virginia,2008,"7,833,496"
Virginia,2009,"7,925,937"
Virginia,2010,"8,023,680"
Virginia,2011,"8,100,469"
Virginia,2012,"8,185,229"
Virginia,2013,"8,253,053"
Virginia,2014,"8,312,076"
Virginia,2015,"8,362,907"
Virginia,2016,"8,410,946"
Virginia,2017,"8,465,207"
Virginia,2018,"8,517,685"
Virginia,2019,"8,517,685"
Washington,1990,"4,903,043"
Washington,1991,"5,025,624"
Washington,1992,"5,160,757"
Washington,1993,"5,278,842"
Washington,1994,"5,375,161"
Washington,1995,"5,481,027"
Washington,1996,"5,569,753"
Washington,1997,"5,674,747"
Washington,1998,"5,769,562"
Washington,1999,"5,842,564"
Washington,2000,"5,910,512"
Washington,2001,"5,985,722"
Washington,2002,"6,052,349"
Washington,2003,"6,104,115"
Washington,2004,"6,178,645"
Washington,2005,"6,257,305"
Washington,2006,"6,370,753"
Washington,2007,"6,461,587"
Washington,2008,"6,562,231"
Washington,2009,"6,667,426"
Washington,2010,"6,742,902"
Washington,2011,"6,821,655"
Washington,2012,"6,892,876"
Washington,2013,"6,962,906"
Washington,2014,"7,052,439"
Washington,2015,"7,163,543"
Washington,2016,"7,294,680"
Washington,2017,"7,425,432"
Washington,2018,"7,535,591"
Washington,2019,"7,535,591"
West Virginia,1990,"1,792,548"
West Virginia,1991,"1,798,735"
West Virginia,1992,"1,806,451"
West Virginia,1993,"1,817,539"
West Virginia,1994,"1,820,421"
West Virginia,1995,"1,823,700"
West Virginia,1996,"1,822,808"
West Virginia,1997,"1,819,113"
West Virginia,1998,"1,815,609"
West Virginia,1999,"1,811,799"
West Virginia,2000,"1,807,021"
West Virginia,2001,"1,801,481"
West Virginia,2002,"1,805,414"
West Virginia,2003,"1,812,295"
West Virginia,2004,"1,816,438"
West Virginia,2005,"1,820,492"
West Virginia,2006,"1,827,912"
West Virginia,2007,"1,834,052"
West Virginia,2008,"1,840,310"
West Virginia,2009,"1,847,775"
West Virginia,2010,"1,854,214"
West Virginia,2011,"1,856,074"
West Virginia,2012,"1,856,764"
West Virginia,2013,"1,853,873"
West Virginia,2014,"1,849,467"
West Virginia,2015,"1,841,996"
West Virginia,2016,"1,830,929"
West Virginia,2017,"1,817,048"
West Virginia,2018,"1,805,832"
West Virginia,2019,"1,805,832"
Wisconsin,1990,"4,904,562"
Wisconsin,1991,"4,964,343"
Wisconsin,1992,"5,025,398"
Wisconsin,1993,"5,084,889"
Wisconsin,1994,"5,133,678"
Wisconsin,1995,"5,184,836"
Wisconsin,1996,"5,229,986"
Wisconsin,1997,"5,266,213"
Wisconsin,1998,"5,297,672"
Wisconsin,1999,"5,332,666"
Wisconsin,2000,"5,373,999"
Wisconsin,2001,"5,406,835"
Wisconsin,2002,"5,445,162"
Wisconsin,2003,"5,479,203"
Wisconsin,2004,"5,514,026"
Wisconsin,2005,"5,546,166"
Wisconsin,2006,"5,577,655"
Wisconsin,2007,"5,610,775"
Wisconsin,2008,"5,640,996"
Wisconsin,2009,"5,669,264"
Wisconsin,2010,"5,690,479"
Wisconsin,2011,"5,704,755"
Wisconsin,2012,"5,719,855"
Wisconsin,2013,"5,736,952"
Wisconsin,2014,"5,751,974"
Wisconsin,2015,"5,761,406"
Wisconsin,2016,"5,772,958"
Wisconsin,2017,"5,792,051"
Wisconsin,2018,"5,813,568"
Wisconsin,2019,"5,813,568"
Wyoming,1990,"453,690"
Wyoming,1991,"459,260"
Wyoming,1992,"466,251"
Wyoming,1993,"473,081"
Wyoming,1994,"480,283"
Wyoming,1995,"485,160"
Wyoming,1996,"488,167"
Wyoming,1997,"489,451"
Wyoming,1998,"490,787"
Wyoming,1999,"491,780"
Wyoming,2000,"494,300"
Wyoming,2001,"494,657"
Wyoming,2002,"500,017"
Wyoming,2003,"503,453"
Wyoming,2004,"509,106"
Wyoming,2005,"514,157"
Wyoming,2006,"522,667"
Wyoming,2007,"534,876"
Wyoming,2008,"546,043"
Wyoming,2009,"559,851"
Wyoming,2010,"564,483"
Wyoming,2011,"567,224"
Wyoming,2012,"576,270"
Wyoming,2013,"582,123"
Wyoming,2014,"582,548"
Wyoming,2015,"585,668"
Wyoming,2016,"584,290"
Wyoming,2017,"578,934"
Wyoming,2018,"577,737"
Wyoming,2019,"577,737"
